"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_007723",4,8,4,9,9,10
"NM_019492",48,28,41,55,68,58
"NM_024192",2449,2489,2872,2329,2335,1996
"NM_146602",0,0,0,0,0,0
"NM_146600",0,0,0,0,0,0
"NM_015749",2763,3025,3657,2493,2444,2623
"NM_020483",1094,900,999,1081,970,858
"NM_009424",1064,982,1026,1112,1004,1015
"NM_010477",5714,4968,5271,3898,3713,3112
"NM_009410",778,616,742,505,518,492
"NM_010415",40,28,25,18,9,5
"NM_010329",6,2,3,4,1,1
"NM_009330",0,0,0,0,0,1
"NM_009328",1,0,0,0,2,1
"NM_009325",326,142,130,93,89,49
"NM_010325",2955,2682,2695,2696,2450,2189
"NM_018749",4053,3459,3753,2876,3199,2909
"NM_001146323",2455,1657,2021,3074,3284,3128
"NM_001164107",876,791,860,785,873,780
"NM_177321",0,1,0,0,0,0
"NM_177319",1349,1393,1716,1110,854,941
"NR_110495",0,0,0,0,0,0
"NM_001291234",3509,3684,3824,3200,2952,3070
"NM_177294",364,292,303,276,269,214
"NM_008278",598,268,460,1276,1411,991
"NM_008948",4178,3745,4090,3631,3460,2975
"NM_054064",0,0,0,0,0,0
"NM_054063",0,0,0,0,0,0
"NM_054059",0,0,0,0,0,0
"NM_054060",0,0,0,0,0,0
"NM_054058",0,0,0,0,0,0
"NM_033652",0,0,0,0,0,0
"NM_054056",9,5,7,2,4,3
"NM_054055",17,13,2,22,9,22
"NM_054054",8,10,12,11,12,8
"NM_130860",2000,1706,1789,2013,2017,1809
"NM_130449",23,5,16,40,36,46
"NM_080850",838,794,880,543,462,410
"NM_080845",0,0,0,0,0,0
"NM_001163311",744,738,760,633,528,474
"NM_001163310",780,553,688,932,875,785
"NM_001164477",1239,1092,1233,1396,1339,1189
"NM_020052",0,0,0,1,0,0
"NM_021456",0,0,0,0,0,0
"NM_021451",188,106,128,218,239,212
"NM_001130190",186,100,82,78,79,41
"NM_025841",2687,2416,2815,2184,2024,1804
"NM_130887",7,7,6,9,7,3
"NM_001081247",768,716,711,662,658,674
"NM_001163389",918,934,1012,832,730,661
"NM_001163387",0,0,0,0,0,0
"NM_001164053",958,802,847,969,839,790
"NM_001164498",1143,1081,1138,1064,1057,1110
"NM_001164497",1143,1081,1139,1064,1057,1110
"NM_153390",4,8,7,5,1,5
"NM_153388",59,59,43,37,42,30
"NM_153386",0,0,0,0,0,0
"NM_153385",0,0,0,0,0,0
"NM_153384",0,0,0,0,0,0
"NM_153288",10,2,6,9,1,5
"NM_153287",286,316,412,311,229,241
"NM_153198",2806,2043,2476,2909,2527,2538
"NM_153197",903,346,567,2172,2161,1917
"NM_153196",549,406,461,655,598,570
"NM_001283062",8638,6882,8092,5253,5965,5454
"NR_046022",0,0,0,0,0,0
"NM_001126488",0,0,0,0,0,0
"NM_001113393",370,335,379,289,298,300
"NM_001142736",0,0,0,0,0,0
"NM_001199945",55,33,50,57,44,69
"NM_001159774",2487,1858,2063,2783,3136,2965
"NM_001145781",470,455,543,355,332,323
"NM_001159557",644,245,260,287,346,139
"NM_001146342",87,71,81,81,100,84
"NM_001159738",0,0,0,0,0,0
"NM_001081184",1188,886,897,874,897,783
"NM_001168248",447,364,522,429,430,422
"NM_016845",93,83,81,122,116,102
"NM_001039696",0,0,0,0,0,0
"NM_025839",460,433,432,439,486,471
"NM_025333",1062,903,1065,1055,973,927
"NM_025837",430,367,432,376,362,320
"NM_025313",2198,2045,2138,1932,2047,1731
"NM_025310",2251,1954,2071,1710,1593,1502
"NM_025834",100,85,83,96,104,79
"NM_025833",26,22,25,31,41,31
"NM_025832",710,786,876,746,692,810
"NM_001293621",3845,3655,3946,3184,2762,2748
"NM_134190",0,0,0,0,0,0
"NM_010000",0,0,0,1,0,0
"NM_019992",977,832,1207,930,759,713
"NM_019991",0,0,0,0,0,0
"NM_023336",1293,1566,1503,1296,1015,1066
"NM_134203",0,0,0,0,0,0
"NR_045495",0,0,0,0,0,0
"NR_045505",0,0,0,0,0,0
"NR_045504",0,0,0,0,0,0
"NR_045503",134,119,177,124,104,102
"NR_045501",0,0,1,0,1,0
"NR_045491",0,0,0,0,0,0
"NR_045500",51,31,50,42,29,38
"NR_045490",0,0,0,0,0,0
"NR_045489",4,1,5,7,3,3
"NR_045488",0,0,0,0,0,0
"NR_045487",0,0,0,0,0,0
"NR_045485",686,618,713,616,704,631
"NR_045482",1,4,0,0,3,1
"NR_045480",0,0,0,0,0,0
"NM_172260",1081,1116,1264,946,812,836
"NM_023750",805,806,931,1017,854,876
"NM_022656",2233,2221,2345,1892,1584,1616
"NM_023743",1573,1561,1623,1260,1102,1175
"NM_010704",6,8,9,13,15,9
"NM_001277893",2,4,2,0,0,0
"NM_145847",0,0,0,0,0,0
"NM_145842",0,0,0,0,0,0
"NM_146002",181,206,192,163,99,128
"NM_001284393",470,197,209,461,560,453
"NM_001284402",921,511,555,1144,1350,1374
"NM_001284392",49,64,64,29,16,18
"NM_001284385",728,552,582,723,680,612
"NM_001284384",728,552,582,723,680,612
"NM_001242950",0,0,0,0,0,0
"NM_001242949",0,0,0,0,0,0
"NM_001112735",135,109,140,90,68,71
"NM_001112731",42,29,32,35,25,26
"NM_001112725",11,2,1,4,4,3
"NM_001122992",887,905,903,856,759,768
